external_id,stage,home_team,away_team,kickoff_utc,venue
wc2026-gA-01,Group A,Mexico,South Africa,2026-06-11T19:00:00Z,"Mexico City, Mexico"
wc2026-gA-02,Group A,South Korea,Czech Republic,2026-06-12T02:00:00Z,"Zapopan, Mexico"
wc2026-gB-01,Group B,Canada,Bosnia & Herzegovina,2026-06-12T19:00:00Z,"Toronto, Canada"
wc2026-gD-01,Group D,USA,Paraguay,2026-06-13T01:00:00Z,"Los Angeles, USA"
wc2026-gB-02,Group B,Qatar,Switzerland,2026-06-13T19:00:00Z,"Santa Clara, USA"
wc2026-gC-01,Group C,Brazil,Morocco,2026-06-13T22:00:00Z,"New Jersey, USA"
wc2026-gC-02,Group C,Haiti,Scotland,2026-06-14T01:00:00Z,"Foxborough, USA"
wc2026-gD-02,Group D,Australia,Turkey,2026-06-14T04:00:00Z,"Vancouver, Canada"
wc2026-gE-01,Group E,Germany,Curacao,2026-06-14T17:00:00Z,"Houston, USA"
wc2026-gF-01,Group F,Netherlands,Japan,2026-06-14T20:00:00Z,"Arlington, USA"
wc2026-gE-02,Group E,Ivory Coast,Ecuador,2026-06-14T23:00:00Z,"Philadelphia, USA"
wc2026-gF-02,Group F,Sweden,Tunisia,2026-06-15T02:00:00Z,"Guadalupe, Mexico"
wc2026-gH-01,Group H,Spain,Cape Verde,2026-06-15T16:00:00Z,"Atlanta, USA"
wc2026-gG-01,Group G,Belgium,Egypt,2026-06-15T19:00:00Z,"Seattle, USA"
wc2026-gH-02,Group H,Saudi Arabia,Uruguay,2026-06-15T22:00:00Z,"Miami, USA"
wc2026-gG-02,Group G,Iran,New Zealand,2026-06-16T01:00:00Z,"Los Angeles, USA"
wc2026-gI-01,Group I,France,Senegal,2026-06-16T19:00:00Z,"New Jersey, USA"
wc2026-gI-02,Group I,Iraq,Norway,2026-06-16T22:00:00Z,"Foxborough, USA"
wc2026-gJ-01,Group J,Argentina,Algeria,2026-06-17T01:00:00Z,"Kansas City, USA"
wc2026-gJ-02,Group J,Austria,Jordan,2026-06-17T04:00:00Z,"Santa Clara, USA"
wc2026-gK-01,Group K,Portugal,DR Congo,2026-06-17T17:00:00Z,"Houston, USA"
wc2026-gL-01,Group L,England,Croatia,2026-06-17T20:00:00Z,"Arlington, USA"
wc2026-gL-02,Group L,Ghana,Panama,2026-06-17T23:00:00Z,"Toronto, Canada"
wc2026-gK-02,Group K,Uzbekistan,Colombia,2026-06-18T02:00:00Z,"Mexico City, Mexico"
wc2026-gA-03,Group A,Czech Republic,South Africa,2026-06-18T16:00:00Z,"Atlanta, USA"
wc2026-gB-03,Group B,Switzerland,Bosnia & Herzegovina,2026-06-18T19:00:00Z,"Los Angeles, USA"
wc2026-gB-04,Group B,Canada,Qatar,2026-06-18T22:00:00Z,"Vancouver, Canada"
wc2026-gA-04,Group A,Mexico,South Korea,2026-06-19T01:00:00Z,"Zapopan, Mexico"
